name,slug, metric tonnes of CO2,date_of_information,ranking,region
"China","china","10,773,248,000","2019",1,"East and Southeast Asia"
"United States of America","united-states","5,144,361,000","2019",2,"North America"
"India","india","2,314,738,000","2019",3,"South Asia"
"Russia","russia","1,848,070,000","2019",4,"Central Asia"
"Japan","japan","1,103,234,000","2019",5,"East and Southeast Asia"
"Germany","germany","726,881,000","2019",6,"Europe"
"Korea, South","korea-south","686,954,000","2019",7,"East and Southeast Asia"
"Iran","iran","646,038,000","2019",8,"Middle East"
"Canada","canada","612,084,000","2019",9,"North America"
"Saudi Arabia","saudi-arabia","579,925,000","2019",10,"Middle East"
"Indonesia","indonesia","563,543,000","2019",11,"East and Southeast Asia"
"South Africa","south-africa","470,358,000","2019",12,"Africa"
"Mexico","mexico","463,739,000","2019",13,"North America"
"Brazil","brazil","456,670,000","2019",14,"South America"
"Australia","australia","417,870,000","2019",15,"Australia and Oceania"
"United Kingdom","united-kingdom","398,084,000","2019",16,"Europe"
"Turkey (Turkiye)","turkey-turkiye","391,792,000","2019",17,"Middle East"
"France","france","338,425,000","2019",18,"Europe"
"Italy","italy","332,041,000","2019",19,"Europe"
"Thailand","thailand","305,273,000","2019",20,"East and Southeast Asia"
"Poland","poland","304,040,000","2019",21,"Europe"
"Spain","spain","280,624,000","2019",22,"Europe"
"Taiwan","taiwan","279,206,000","2019",23,"East and Southeast Asia"
"United Arab Emirates","united-arab-emirates","276,236,000","2019",24,"Middle East"
"Kazakhstan","kazakhstan","263,689,000","2019",25,"Central Asia"
"Malaysia","malaysia","254,764,000","2019",26,"East and Southeast Asia"
"Vietnam","vietnam","249,929,000","2019",27,"East and Southeast Asia"
"Singapore","singapore","238,983,000","2019",28,"East and Southeast Asia"
"Egypt","egypt","235,137,000","2019",29,"Africa"
"Netherlands","netherlands","214,416,000","2019",30,"Europe"
"Pakistan","pakistan","193,869,000","2019",31,"South Asia"
"Argentina","argentina","193,205,000","2019",32,"South America"
"Ukraine","ukraine","185,686,000","2019",33,"Europe"
